c101

VEHICLE
NUMBER		 CAPACITY
	6				 20

CUSTOMER
CUST NO.     XCOORD.    YCOORD.      DEMAND    READY TIME  DUE DATE  SERVICE TIME  AVAIL. TIME

	 0				   40				   50				    0				   0				  14400				   0				    0
     1				   22				   75				    1				  1500				  2400				   30				    0
     2				   65				   85				    2				  3600				  4200				   60				    0
     3				   40				   5				    2				  0				      3600				   60				    0
     4				   2				   45				    2				  4800				  7200				   60				    0
     5				   40				   60				    4				  3900				  5100				   120				    0
     6				   5				   5				    2				  5100				  6300				   60				    0
     7				   95				   30				    3				  0				      1800				   90				    0
     8				   49				   42				    2				  5700				  6300				   60				    0
     9				   4				   18				    2				  10800				  11400				   60				    0
    10				   31				   67				    4				  900				  2700				   120				    0
    11				   10				   20				    2				  8700				  10800				   60				    0
    12				   80				   70				    2				  6000				  7200				   60				    0
    13				   72				   35				    4				  8400				  9000				   120				    0
    14				   60				   10				    3				  12000				  12900				   90				    0
    15				   90				   35				    4				  300				  600				   120				    0
    16				   55				   85				    2				  4200				  4800				   60				    0
    17				   58				   75				    1				  3600				  4500				   30				    0
    18				   25				   30				    2				  10800				  11700				   60				    0
    19				   15				   60				    4				  2100				  3600				   120				    0
    20				   63				   65				    2				  2700				  3300				   60				    0
    21				   23				   3				    3				  3900				  5400				   90				    0
    22				   6				   68				    2				  7500				  8100				   60				    0
    23				   37				   47				    2				  5100				  6300				   60				    0
    24				   61				   52				    1				  13500				  14100				   30				    0
    25				   55				   54				    1				  6000				  7200				   30				    0
    26				   20				   85				    1				  5100				  6300				   30				    3900
    27				   85				   25				    1				  10800				  12000				   30				    4000
    28				   8				   56				    2				  9000				  9900				   60				    8000
    29				   27				   43				    3				  8700				  9900				   90				    8500
    30				   57				   37				    2				  9900				  10800				   60				    8700
