c102

VEHICLE
NUMBER		 CAPACITY
	10				 20

CUSTOMER
CUST NO.     XCOORD.    YCOORD.      DEMAND    READY TIME  DUE DATE  SERVICE TIME  AVAIL. TIME

	  0				   40				   50				    0				    0				 1236				    0				    0
	  1				   45				   68				   1				    0				 1127				   30				    0
	  2				   45				   70				   3				    0				 1125				   90				    0
	  3				   42				   66				   1				    0				 1129				   30				    0
	  4				   42				   65				   1				    0				 1130				   30				    0
	  5				   40				   66				   2				    0				 1130				   60				    0
	  6				   38				   68				   2				  255				  324				   60				    0
	  7				   38				   70				   1				  534				  605				   30				    0
	  8				   35				   66				   1				  357				  410				   30				    0
	  9				   25				   85				   2				    0				 1107				   60				    0
	 10				   22				   75				   3				   30				   92				   90				    0
	 11				   22				   85				   1				  567				  620				   30				    0
	 12				   20				   80				   4				  384				  429				   120				    0
	 13				   20				   85				   4				  475				  528				   120				    0
	 14				   30				   50				   1				   10				   73				   30				    0
	 15				   30				   52				   2				    0				 1135				   60				    0
	 16				   28				   55				   1				  732				  777				   30				    0
	 17				   25				   50				   1				   65				  144				   30				    0
	 18				   25				   52				   4				  169				  224				   120				    0
	 19				   25				   55				   1				    0				 1130				   30				    0
	 20				   20				   50				   1				  358				  405				   30				    0
	 21				   20				   55				   1				  449				  504				   30				    0
	 22				   10				   35				   2				    0				 1112				   60				    0
	 23				   10				   40				   3				   31				  100				   90				    0
	 24				    8				   40				   4				   87				  158				   120				    0
	 25				    8				   45				   2				    0				 1113				   60				    0
	 26				    5				   35				   1				  283				  344				   30				    0
	 27				    2				   40				   2				    0				 1106				   60				    0
	 28				    0				   40				   3				  479				  522				   90				    0
	 29				    0				   45				   2				  567				  624				   60				    0
	 30				   35				   30				   1				  264				  321				   30				    0
	 31				   35				   32				   1				  166				  235				   30				    0
	 32				   33				   35				   1				   16				   80				   30				    0
	 33				   32				   30				   1				  359				  412				   30				    0
	 34				   30				   35				   1				 1054				 1127				   30				    0
	 35				   28				   30				   1				    0				 1122				   30				    0
	 36				   26				   32				   1				    0				 1123				   30				    0
	 37				   25				   35				   1				    0				 1124				   30				    0
	 38				   44				    5				   2				  286				  347				   60				    0
	 39				   42				   15				   1				   95				  158				   30				    0
	 40				   40				    5				   3				  385				  436				   90				    0
	 41				   40				   15				   4				   35				   87				   120				    0
	 42				   38				    5				   3				  471				  534				   90				    0
	 43				   38				   15				   1				    0				 1110				   30				    0
	 44				   35				    5				   2				  562				  629				   60				    0
	 45				   50				   30				   1				  531				  610				   30				    0
	 46				   50				   35				   2				  262				  317				   60				    0
	 47				   50				   40				   4				  171				  218				   120				    0
	 48				   47				   40				   1				   12				   77				   30				    0
	 49				   45				   30				   1				  734				  777				   30				    0
	 50				   95				   35				   2				  293				  360				   60				    0
	 51				   53				   30				   1				    0				 1122				   30				    0
	 52				   53				   35				   4				  353				  412				   120				    0
	 53				   45				   65				   2				    0				 1130				   60				    0
	 54				   88				   30				   1				  574				  643				   30				    0
	 55				   87				   30				   1				  668				  731				   30				    0
	 56				   85				   25				   1				  769				  820				   30				    0
	 57				   85				   35				   3				   47				  124				   90				    0
	 58				   75				   55				   2				    0				 1110				   60				    0
	 59				   72				   55				   1				    0				 1113				   30				    0
	 60				   70				   58				   2				  458				  523				   60				    0
	 61				   68				   60				   3				    0				 1116				   90				    0
	 62				   66				   55				   1				  173				  238				   30				    0
	 63				   65				   55				   2				   85				  144				   60				    0
	 64				   60				   55				   1				   20				   84				   30				    0
	 65				   60				   60				   1				    0				 1123				   30				    0
	 66				   67				   85				   2				  368				  441				   60				    0
	 67				   65				   85				   4				  475				  518				   120				    0
	 68				   65				   82				   1				    0				 1105				   30				    0
	 69				   62				   80				   3				    0				 1108				   90				    0
	 70				   60				   80				   1				    0				 1109				   30				    0
	 71				   58				   75				   2				    0				 1115				   60				    0
	 72				   55				   80				   1				  743				  820				   30				    0
	 73				   65				   60				   3				  645				  708				   90				    6
	 74				   30				   30				   1				  541				  600				   30				   20
	 75				   48				   40				   1				   76				  129				   30				   20
	 76				   33				   32				   2				   68				  149				   60				   27
	 77				   28				   52				   2				  812				  883				   60				   30
	 78				   90				   35				   1				  203				  260				   30				   31
	 79				   18				   75				   2				   99				  148				   60				   49
	 80				   95				   30				   3				  387				  456				   90				   73
	 81				   88				   35				   2				  109				  170				   60				   76
	 82				   45				   35				   1				  916				  969				   30				  105
	 83				   92				   30				   1				  478				  551				   30				  129
	 84				   15				   75				   2				  179				  254				   60				  136
	 85				   23				   52				   1				  261				  316				   30				  157
	 86				   42				   10				   4				  186				  257				   120				  159
	 87				   15				   80				   1				  278				  345				   30				  166
	 88				   23				   55				   2				  546				  593				   60				  187
	 89				   63				   58				   1				  737				  802				   30				  224
	 90				   60				   85				   3				  561				  622				   90				  228
	 91				   30				   32				   3				  448				  509				   90				  256
	 92				   42				   68				   1				  727				  782				   30				  295
	 93				   40				   69				   2				  621				  702				   60				  307
	 94				   48				   30				   1				  632				  693				   30				  313
	 95				   28				   35				   1				 1001				 1066				   30				  316
	 96				   55				   85				   2				  647				  726				   60				  385
     97				   35				   69				   1				  448				  505				   30				  418
     98				    5				   45				   1				  665				  716				   30				  621
     99				   47				   35				   1				  826				  875				   30				  624
    100				   25				   30				   1				  725				  786				   30				  639
